Order Date,Product Name,Category Name,Total Quantity,Total Sales,Total Profit,Order Count
2015-01-01,Bridgestone e6 Straight Distance NFL San Dieg,Electronics,3,95.97000122,-21.23999977,1
2015-01-01,Bridgestone e6 Straight Distance NFL Tennesse,Electronics,4,127.9599991,9.350000381,1
2015-01-01,Clicgear 8.0 Shoe Brush,Golf Gloves,2,19.97999954,8.43999958,1
2015-01-01,Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,20,5999.600219999998,1573.6599743110003,20
2015-01-01,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,15,5999.700164999999,353.30002971,15
2015-01-01,Glove It Imperial Golf Towel,Trade-In,5,79.94999695,4.579999924,1
2015-01-01,Glove It Urban Brick Golf Towel,Trade-In,5,79.94999695,-13.71000004,1
2015-01-01,Glove It Women's Mod Oval 3-Zip Carry All Gol,Trade-In,1,21.98999977,-15.64000034,1
2015-01-01,Glove It Women's Mod Oval Golf Glove,Golf Balls,4,79.95999908,2.400000095,1
2015-01-01,Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,19,2469.8101045,452.210003421,19
2015-01-01,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,54,2700.0,-265.759997471,21
2015-01-01,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,28,2799.71998602,709.740006284,9
2015-01-01,Nike Women's Legend V-Neck T-Shirt,Hockey,4,100.0,23.48999977,1
2015-01-01,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,59,2948.8199692600006,139.91002019799998,19
2015-01-01,Pelican Sunstream 100 Kayak,Water Sports,18,3599.820098999999,409.02000123899995,18
2015-01-01,Perfect Fitness Perfect Rip Deck,Cleats,68,4079.32012576,658.9199866360001,25
2015-01-01,Team Golf New England Patriots Putter Grip,Accessories,5,124.95000076,7.69999981,2
2015-01-01,Team Golf San Francisco Giants Putter Grip,Accessories,2,49.97999954,11.05000019,1
2015-01-01,Team Golf Tennessee Volunteers Putter Grip,Accessories,4,99.95999908,6.599999905,1
2015-01-01,Titleist Pro V1 High Numbers Personalized Gol,Electronics,4,207.9600067,90.83999634,1
2015-01-01,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,18,719.82001868,209.31000519,5
2015-01-01,Under Armour Men's Tech II T-Shirt,Lacrosse,3,74.97000122,-0.730000019,1
2015-01-01,Under Armour Women's Ignite Slide,Electronics,8,255.9199982,73.31999969,2
2015-01-01,adidas Kids' F5 Messi FG Soccer Cleat,Baseball & Softball,2,69.98000336,6.71999979,1
2015-01-02,Bag Boy Beverage Holder,Golf Gloves,4,99.95999908,11.34000015,1
2015-01-02,Bridgestone e6 Straight Distance NFL Carolina,Electronics,2,63.97999954,16.29999924,1
2015-01-02,Columbia Men's PFG Anchor Tough T-Shirt,Shop By Sport,4,120.0,-26.10000038,1
2015-01-02,Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,15,4499.700165,-235.88001296200002,15
2015-01-02,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,12,4799.760132,930.5899877789998,12
2015-01-02,Nike Dri-FIT Crew Sock 6 Pack,Hockey,6,132.0,46.19999981,2
2015-01-02,Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,20,2599.8001099999997,-390.930004339,20
2015-01-02,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,50,2500.0,382.73999693,17
2015-01-02,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,29,2899.7100143000002,-325.7500133600001,11
